"No.","Time","Source","Destination","Protocol","Length","Info"
"29","3.055211","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0x5bba A sd-007"
"30","3.055299","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0x5bba A sd-007"
"31","3.055610","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","86","Standard query 0xc192 AAAA sd-007"
"32","3.055690","10.0.0.12","224.0.0.252","LLMNR","66","Standard query 0xc192 AAAA sd-007"
"33","3.447474","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0x212d A hello"
"34","3.447539","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0x212d A hello"
"35","3.447873","fe80::d91b:8a96:eeda:dcca","ff02::1:3","LLMNR","85","Standard query 0x5a40 AAAA hello"
"36","3.447942","10.0.0.12","224.0.0.252","LLMNR","65","Standard query 0x5a40 AAAA hello"
"37","3.609208","10.0.0.10","10.0.0.11","TCP","74","21  >  42336 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"38","3.609213","10.0.0.10","10.0.0.11","TCP","74","21  >  42338 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"39","3.609214","10.0.0.10","10.0.0.11","TCP","74","21  >  42340 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"40","3.609215","10.0.0.10","10.0.0.11","TCP","74","21  >  42342 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"41","3.609215","10.0.0.10","10.0.0.11","TCP","74","21  >  42344 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"42","3.609216","10.0.0.10","10.0.0.11","TCP","74","21  >  42346 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"43","3.609217","10.0.0.10","10.0.0.11","TCP","74","21  >  42348 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"44","3.609218","10.0.0.10","10.0.0.11","TCP","74","21  >  42350 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"45","3.609218","10.0.0.10","10.0.0.11","TCP","74","21  >  42352 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"46","3.609219","10.0.0.10","10.0.0.11","TCP","74","21  >  42354 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"47","3.609220","10.0.0.10","10.0.0.11","TCP","74","21  >  42356 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"48","3.609220","10.0.0.10","10.0.0.11","TCP","74","21  >  42358 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"49","3.609221","10.0.0.10","10.0.0.11","TCP","74","21  >  42360 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
